node_type,parent_node,join_type,relation_name,alias,plan_rows,actual_rows,startup_cost,total_cost,plan_width,selectivity,cost_ratio,log_plan_rows,filter,hash_cond,index_cond
Seq Scan,Nested Loop,None,payment,p,1.0,0.0,0.0,290.45,6.0,1.0,290.45,0.0,payment_date > '#-#-# #:#:#'::timestamp without time zone,none,none
Index Scan,Nested Loop,None,customer,c,1.0,0.0,0.28,8.29,17.0,1.0,29.60714285714285,0.0,none,none,none
Limit,ROOT,None,None,None,19.0,0.0,220.89,220.93,25.0,1.0,1.0001810856082214,1.278754,none,none,none
Sort,Limit,None,None,None,67.0,0.0,220.89,221.05,25.0,1.0,1.0007243424328853,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,216.63,219.13,25.0,1.0,1.01154041453169,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,1065.0,1031.0,109.44,211.3,19.0,1.0,1.9307383040935675,3.02735,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,1065.0,1031.0,102.94,201.95,4.0,1.0,1.9618224208276664,3.02735,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,195.0,195.0,100.5,100.5,4.0,0.18309859154929578,1.0,2.290035,none,none,none
Seq Scan,Hash,None,film,f,195.0,195.0,0.0,100.5,4.0,1.0,100.5,2.290035,rating = 'r'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.18779342723004694,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,26.0,0.0,220.12,220.18,25.0,1.0,1.0002725785934945,1.414973,none,none,none
Sort,Limit,None,None,None,67.0,0.0,220.12,220.28,25.0,1.0,1.0007268762493184,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,215.71,218.21,25.0,1.0,1.0115896342311437,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,972.0,976.0,109.22,210.85,19.0,1.0,1.9305072331074895,2.987666,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,972.0,976.0,102.72,201.74,4.0,1.0,1.9639797507788164,2.987666,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,178.0,178.0,100.5,100.5,4.0,0.1831275720164609,1.0,2.25042,none,none,none
Seq Scan,Hash,None,film,f,178.0,178.0,0.0,100.5,4.0,1.0,100.5,2.25042,rating = 'g'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.205761316872428,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,87.0,87.0,424.48,427.74,25.0,1.0,1.007679984922729,1.939519,none,none,none
Aggregate,Limit,None,None,None,200.0,87.0,424.48,431.97,25.0,1.0,1.0176451187335092,2.30103,countpayment_id > #,none,none
Hash Join,Aggregate,Inner,None,None,14595.0,14596.0,22.48,351.51,21.0,1.0,15.636565836298931,4.164204,none,customer_id=customer_id,none
Seq Scan,Hash Join,None,payment,p,14595.0,14596.0,0.0,290.45,6.0,1.0,290.45,4.164204,payment_date > '#-#-# #:#:#'::timestamp without time zone,none,none
Hash,Hash Join,None,None,None,599.0,599.0,14.99,14.99,17.0,0.041041452552243916,1.0,2.777427,none,none,none
Seq Scan,Hash,None,customer,c,599.0,599.0,0.0,14.99,17.0,1.0,14.99,2.777427,none,none,none
Limit,ROOT,None,None,None,1.0,0.0,298.78,298.8,25.0,1.0,1.0000669388847983,0.0,none,none,none
Aggregate,Limit,None,None,None,1.0,0.0,298.78,298.8,25.0,1.0,1.0000669388847983,0.0,countpayment_id > #,none,none
Sort,Aggregate,None,None,None,1.0,0.0,298.78,298.78,21.0,1.0,1.0,0.0,none,none,none
Nested Loop,Sort,Inner,None,None,1.0,0.0,0.28,298.77,21.0,1.0,1067.0357142857142,0.0,none,none,none
Seq Scan,Nested Loop,None,payment,p,1.0,0.0,0.0,290.45,6.0,1.0,290.45,0.0,payment_date > '#-#-# #:#:#'::timestamp without time zone,none,none
Index Scan,Nested Loop,None,customer,c,1.0,0.0,0.28,8.29,17.0,1.0,29.60714285714285,0.0,none,none,none
Limit,ROOT,None,None,None,17.0,17.0,0.56,89.24,25.0,1.0,159.35714285714283,1.230449,none,none,none
Aggregate,Limit,None,None,None,200.0,17.0,0.56,1043.82,25.0,1.0,1863.9642857142853,2.30103,countpayment_id > #,none,none
Merge Join,Aggregate,Inner,None,None,14595.0,432.0,0.56,963.36,21.0,1.0,1720.2857142857142,4.164204,none,none,none
Index Scan,Merge Join,None,customer,c,599.0,18.0,0.28,37.63,17.0,0.041041452552243916,134.39285714285714,2.777427,none,none,none
Index Scan,Merge Join,None,payment,p,14595.0,432.0,0.29,741.8,6.0,1.0,2557.9310344827586,4.164204,payment_date > '#-#-# #:#:#'::timestamp without time zone,none,none
Limit,ROOT,None,None,None,10.0,10.0,195.44,195.47,95.0,1.0,1.0001534997953336,1.0,none,none,none
Sort,Limit,None,None,None,81.0,10.0,195.44,195.64,95.0,1.0,1.0010233319688906,1.908485,none,none,none
Aggregate,Sort,None,None,None,81.0,16.0,190.67,193.69,95.0,1.0,1.0158388839355956,1.908485,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,242.0,340.0,62.36,188.85,91.0,1.0,3.028383579217447,2.383815,none,none,none
Hash Join,Nested Loop,Inner,None,None,69.0,92.0,62.07,150.75,91.0,0.28512396694214875,2.428709521507975,1.838849,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,15.0,20.0,61.88,61.88,89.0,0.21739130434782608,1.0,1.176091,none,none,none
Nested Loop,Hash,Inner,None,None,15.0,20.0,1.49,61.88,89.0,1.0,41.530201342281885,1.176091,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,62.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%drama%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,19.0,0.06666666666666667,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,4.0,0.29,0.51,8.0,0.01652892561983471,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,47.0,45.0,63.19,63.31,85.0,1.0,1.0018990346573826,1.672098,none,none,none
Sort,Limit,None,None,None,47.0,45.0,63.19,63.31,85.0,1.0,1.0018990346573826,1.672098,none,none,none
Nested Loop,Sort,Inner,None,None,47.0,45.0,1.49,61.88,85.0,1.0,41.530201342281885,1.672098,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,61.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text = 'sci-fi'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,1.0,0.28,0.67,21.0,0.02127659574468085,2.392857142857143,0.0,length > #,none,none
Limit,ROOT,None,None,None,19.0,13.0,186.48,186.53,95.0,1.0,1.0002681252681254,1.278754,none,none,none
Sort,Limit,None,None,None,64.0,13.0,186.48,186.64,95.0,1.0,1.0008580008580008,1.80618,none,none,none
Aggregate,Sort,None,None,None,64.0,13.0,182.39,184.8,95.0,1.0,1.0132134437195024,1.80618,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,193.0,253.0,62.32,180.94,91.0,1.0,2.9034017971758663,2.285557,none,none,none
Hash Join,Nested Loop,Inner,None,None,55.0,69.0,62.04,150.57,91.0,0.2849740932642487,2.4269825918762087,1.740363,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,12.0,14.0,61.89,61.89,89.0,0.21818181818181817,1.0,1.079181,none,none,none
Nested Loop,Hash,Inner,None,None,12.0,14.0,1.49,61.89,89.0,1.0,41.53691275167785,1.079181,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,62.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%drama%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,19.0,0.08333333333333333,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,4.0,0.29,0.51,8.0,0.02072538860103627,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,21.0,0.0,220.88,220.94,25.0,1.0,1.0002716407098877,1.322219,none,none,none
Sort,Limit,None,None,None,67.0,0.0,220.88,221.05,25.0,1.0,1.0007696486780153,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,216.58,219.08,25.0,1.0,1.0115430787699695,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,1060.0,1143.0,109.42,211.28,19.0,1.0,1.9309084262474867,3.025306,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,1060.0,1143.0,102.92,201.94,4.0,1.0,1.9621064904780412,3.025306,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,194.0,194.0,100.5,100.5,4.0,0.1830188679245283,1.0,2.287802,none,none,none
Seq Scan,Hash,None,film,f,194.0,194.0,0.0,100.5,4.0,1.0,100.5,2.287802,rating = 'pg'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.18867924528301888,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,47.0,44.0,63.22,63.34,85.0,1.0,1.0018981335020565,1.672098,none,none,none
Sort,Limit,None,None,None,48.0,44.0,63.22,63.34,85.0,1.0,1.0018981335020565,1.681241,none,none,none
Nested Loop,Sort,Inner,None,None,48.0,44.0,1.49,61.88,85.0,1.0,41.530201342281885,1.681241,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,58.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text = 'comedy'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,1.0,0.28,0.67,21.0,0.020833333333333332,2.392857142857143,0.0,length > #,none,none
Limit,ROOT,None,None,None,27.0,0.0,222.58,222.65,25.0,1.0,1.000314493665199,1.431364,none,none,none
Sort,Limit,None,None,None,67.0,0.0,222.58,222.75,25.0,1.0,1.000763770329769,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,218.15,220.65,25.0,1.0,1.0114600045840019,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,1218.0,1184.0,109.79,212.06,19.0,1.0,1.9315056016030603,3.085647,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,1218.0,1184.0,103.29,202.3,4.0,1.0,1.958563268467422,3.085647,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,223.0,223.0,100.5,100.5,4.0,0.18308702791461412,1.0,2.348305,none,none,none
Seq Scan,Hash,None,film,f,223.0,223.0,0.0,100.5,4.0,1.0,100.5,2.348305,rating = 'pg-#'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.16420361247947454,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,36.0,0.0,221.11,221.2,25.0,1.0,1.0004070372212925,1.556303,none,none,none
Sort,Limit,None,None,None,67.0,0.0,221.11,221.28,25.0,1.0,1.0007688480846637,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,216.58,219.08,25.0,1.0,1.0115430787699695,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,1060.0,1143.0,109.42,211.28,19.0,1.0,1.9309084262474867,3.025306,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,1060.0,1143.0,102.92,201.94,4.0,1.0,1.9621064904780412,3.025306,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,194.0,194.0,100.5,100.5,4.0,0.1830188679245283,1.0,2.287802,none,none,none
Seq Scan,Hash,None,film,f,194.0,194.0,0.0,100.5,4.0,1.0,100.5,2.287802,rating = 'pg'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.18867924528301888,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,12.0,9.0,219.27,219.3,95.0,1.0,1.0001368176221097,1.079181,none,none,none
Sort,Limit,None,None,None,121.0,9.0,219.27,219.57,95.0,1.0,1.0013681762210973,2.082785,none,none,none
Aggregate,Sort,None,None,None,121.0,9.0,211.95,216.5,95.0,1.0,1.0214673271998114,2.082785,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,368.0,342.0,62.46,209.19,91.0,1.0,3.3491834774255524,2.565848,none,none,none
Hash Join,Nested Loop,Inner,None,None,105.0,99.0,62.17,151.21,91.0,0.28532608695652173,2.432202026700981,2.021189,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,23.0,20.0,61.88,61.88,89.0,0.21904761904761905,1.0,1.361728,none,none,none
Nested Loop,Hash,Inner,None,None,23.0,20.0,1.49,61.88,89.0,1.0,41.530201342281885,1.361728,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,64.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%action%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,19.0,0.043478260869565216,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,3.0,0.29,0.51,8.0,0.010869565217391304,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,1.0,0.0,298.78,298.8,25.0,1.0,1.0000669388847983,0.0,none,none,none
Aggregate,Limit,None,None,None,1.0,0.0,298.78,298.8,25.0,1.0,1.0000669388847983,0.0,countpayment_id > #,none,none
Sort,Aggregate,None,None,None,1.0,0.0,298.78,298.78,21.0,1.0,1.0,0.0,none,none,none
Nested Loop,Sort,Inner,None,None,1.0,0.0,0.28,298.77,21.0,1.0,1067.0357142857142,0.0,none,none,none
Seq Scan,Nested Loop,None,payment,p,1.0,0.0,0.0,290.45,6.0,1.0,290.45,0.0,payment_date > '#-#-# #:#:#'::timestamp without time zone,none,none
Index Scan,Nested Loop,None,customer,c,1.0,0.0,0.28,8.29,17.0,1.0,29.60714285714285,0.0,none,none,none
Limit,ROOT,None,None,None,24.0,24.0,284.53,284.59,95.0,1.0,1.0002108740730327,1.380211,none,none,none
Sort,Limit,None,None,None,233.0,24.0,284.53,285.11,95.0,1.0,1.0020384493726497,2.367356,none,none,none
Aggregate,Sort,None,None,None,233.0,41.0,269.28,278.02,95.0,1.0,1.0324569221628046,2.367356,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,707.0,728.0,62.72,263.98,91.0,1.0,4.208864795918368,2.849419,none,none,none
Hash Join,Nested Loop,Inner,None,None,202.0,203.0,62.43,152.44,91.0,0.2857142857142857,2.4417747877622937,2.305351,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,44.0,43.0,61.88,61.88,89.0,0.21782178217821782,1.0,1.643453,none,none,none
Nested Loop,Hash,Inner,None,None,44.0,43.0,1.49,61.88,89.0,1.0,41.530201342281885,1.643453,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,64.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%action%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,1.0,0.28,0.67,19.0,0.022727272727272728,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,4.0,0.29,0.51,8.0,0.005657708628005658,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,1.0,0.0,298.78,298.8,25.0,1.0,1.0000669388847983,0.0,none,none,none
Aggregate,Limit,None,None,None,1.0,0.0,298.78,298.8,25.0,1.0,1.0000669388847983,0.0,countpayment_id > #,none,none
Sort,Aggregate,None,None,None,1.0,0.0,298.78,298.78,21.0,1.0,1.0,0.0,none,none,none
Nested Loop,Sort,Inner,None,None,1.0,0.0,0.28,298.77,21.0,1.0,1067.0357142857142,0.0,none,none,none
Seq Scan,Nested Loop,None,payment,p,1.0,0.0,0.0,290.45,6.0,1.0,290.45,0.0,payment_date > '#-#-# #:#:#'::timestamp without time zone,none,none
Index Scan,Nested Loop,None,customer,c,1.0,0.0,0.28,8.29,17.0,1.0,29.60714285714285,0.0,none,none,none
Limit,ROOT,None,None,None,6.0,6.0,62.33,62.35,85.0,1.0,1.0003208727739452,0.778151,none,none,none
Sort,Limit,None,None,None,25.0,6.0,62.33,62.39,85.0,1.0,1.0009626183218354,1.39794,none,none,none
Nested Loop,Sort,Inner,None,None,25.0,26.0,1.49,61.88,85.0,1.0,41.530201342281885,1.39794,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,58.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text = 'comedy'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,21.0,0.04,2.392857142857143,0.0,length > #,none,none
Limit,ROOT,None,None,None,26.0,0.0,222.56,222.63,25.0,1.0,1.0003145219266714,1.414973,none,none,none
Sort,Limit,None,None,None,67.0,0.0,222.56,222.73,25.0,1.0,1.0007638389647735,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,218.15,220.65,25.0,1.0,1.0114600045840019,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,1218.0,1184.0,109.79,212.06,19.0,1.0,1.9315056016030603,3.085647,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,1218.0,1184.0,103.29,202.3,4.0,1.0,1.958563268467422,3.085647,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,223.0,223.0,100.5,100.5,4.0,0.18308702791461412,1.0,2.348305,none,none,none
Seq Scan,Hash,None,film,f,223.0,223.0,0.0,100.5,4.0,1.0,100.5,2.348305,rating = 'pg-#'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.16420361247947454,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,35.0,0.0,222.69,222.77,25.0,1.0,1.0003592437918183,1.544068,none,none,none
Sort,Limit,None,None,None,67.0,0.0,222.69,222.85,25.0,1.0,1.0007184875836364,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,218.15,220.65,25.0,1.0,1.0114600045840019,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,1218.0,1184.0,109.79,212.06,19.0,1.0,1.9315056016030603,3.085647,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,1218.0,1184.0,103.29,202.3,4.0,1.0,1.958563268467422,3.085647,none,film_id=film_id,none
Seq Scan,Hash Join,None,film_actor,fa,5462.0,5462.0,0.0,84.62,4.0,1.0,84.62,3.737352,none,none,none
Hash,Hash Join,None,None,None,223.0,223.0,100.5,100.5,4.0,0.18308702791461412,1.0,2.348305,none,none,none
Seq Scan,Hash,None,film,f,223.0,223.0,0.0,100.5,4.0,1.0,100.5,2.348305,rating = 'pg-#'::mpaa_rating,none,none
Hash,Hash Join,None,None,None,200.0,200.0,4.0,4.0,17.0,0.16420361247947454,1.0,2.30103,none,none,none
Seq Scan,Hash,None,actor,a,200.0,200.0,0.0,4.0,17.0,1.0,4.0,2.30103,none,none,none
Limit,ROOT,None,None,None,36.0,35.0,62.81,62.9,85.0,1.0,1.0014328928514566,1.556303,none,none,none
Sort,Limit,None,None,None,36.0,35.0,62.81,62.9,85.0,1.0,1.0014328928514566,1.556303,none,none,none
Nested Loop,Sort,Inner,None,None,36.0,35.0,1.49,61.88,85.0,1.0,41.530201342281885,1.556303,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,58.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text = 'comedy'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,1.0,0.28,0.67,21.0,0.027777777777777776,2.392857142857143,0.0,length > #,none,none
Limit,ROOT,None,None,None,10.0,7.0,62.05,62.08,85.0,1.0,1.0004834810636583,1.0,none,none,none
Sort,Limit,None,None,None,10.0,7.0,62.05,62.08,85.0,1.0,1.0004834810636583,1.0,none,none,none
Nested Loop,Sort,Inner,None,None,10.0,7.0,1.49,61.89,85.0,1.0,41.53691275167785,1.0,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,56.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text = 'horror'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,21.0,0.1,2.392857142857143,0.0,length > #,none,none
Limit,ROOT,None,None,None,7.0,7.0,185.85,185.87,95.0,1.0,1.0001076136669358,0.845098,none,none,none
Sort,Limit,None,None,None,61.0,7.0,185.85,186.0,95.0,1.0,1.0008071025020178,1.78533,none,none,none
Aggregate,Sort,None,None,None,61.0,12.0,182.39,184.69,95.0,1.0,1.012610340479193,1.78533,countrental_id > #,none,none
Nested Loop,Aggregate,Inner,None,None,193.0,198.0,62.32,180.94,91.0,1.0,2.9034017971758663,2.285557,none,none,none
Hash Join,Nested Loop,Inner,None,None,55.0,59.0,62.04,150.57,91.0,0.2849740932642487,2.4269825918762087,1.740363,none,film_id=film_id,none
Seq Scan,Hash Join,None,inventory,i,4581.0,4581.0,0.0,70.81,6.0,1.0,70.81,3.66096,none,none,none
Hash,Hash Join,None,None,None,12.0,13.0,61.89,61.89,89.0,0.21818181818181817,1.0,1.079181,none,none,none
Nested Loop,Hash,Inner,None,None,12.0,13.0,1.49,61.89,89.0,1.0,41.53691275167785,1.079181,none,none,none
Hash Join,Nested Loop,Inner,None,None,62.0,64.0,1.21,20.53,70.0,1.0,16.96694214876033,1.792392,none,category_id=category_id,none
Seq Scan,Hash Join,None,film_category,fc,1000.0,1000.0,0.0,16.0,4.0,1.0,16.0,3.0,none,none,none
Hash,Hash Join,None,None,None,1.0,1.0,1.2,1.2,72.0,0.016129032258064516,1.0,0.0,none,none,none
Seq Scan,Hash,None,category,c,1.0,1.0,0.0,1.2,72.0,1.0,1.2,0.0,name::text ~~ '%action%'::text,none,none
Index Scan,Nested Loop,None,film,f,1.0,0.0,0.28,0.67,19.0,0.08333333333333333,2.392857142857143,0.0,length > #,none,none
Index Scan,Nested Loop,None,rental,r,4.0,3.0,0.29,0.51,8.0,0.02072538860103627,1.7586206896551726,0.60206,none,none,none
Limit,ROOT,None,None,None,17.0,0.0,219.91,219.95,25.0,1.0,1.0001818925924242,1.230449,none,none,none
Sort,Limit,None,None,None,67.0,0.0,219.91,220.08,25.0,1.0,1.0007730435178028,1.826075,none,none,none
Aggregate,Sort,None,None,None,67.0,0.0,215.71,218.21,25.0,1.0,1.0115896342311437,1.826075,countfilm_id > #,none,none
Hash Join,Aggregate,Inner,None,None,972.0,976.0,109.22,210.85,19.0,1.0,1.9305072331074895,2.987666,none,actor_id=actor_id,none
Hash Join,Hash Join,Inner,None,None,972.0,976.0,102.72,201.74,4.0,1.0,1.9639797507788164,2.987666,none,film_id=film_id,none
